00-00	shijierenquanxuanyan
02-02	bingqiebudeyin1rensuoshudeguojiahuolingtudezhengzhide, xingzhengdehuozheguojidedeweizhibutongeryousuoqubie, wulungailingtushidulilingtu, tuoguanlingtu, feizizhilingtuhuozhechuyuqitarenhezhuquanshouxianzhideqingkuangzhixia. 
03-00	di3tiao
03-01	rengedinggedouchenchenshengming, ziyouherenshenanquandequanli. .
04-00	di4tiao
04-01	renherenbudeshiweinulihuonuyi;maxingshidenulizhiduhenulimaimai, douyingyuyijinzhi. 
05-00	di5tiao
05-01	renherenbudejiayikuxing, huoshiyicanrende, burendaodehuowuruxingdedaiyuhuoxingfa. 
06-00	di6tiao
06-01	rengedingge8xialidouchenbeichengrenzaifaluqianderengedequanli. 
07-00	di7tiao
07-01	faluzhiqianrengedingge1bianrda, bingyouquanxiangshoufalude1bianrdadebaohu, bushourenheqishi. rengedinggeyouquanxiangshou1bianrdabaohu, yimianshouweifanjiegexuanyanderenheqishixingweiyijishandongjiefenrqishiderenhexingweizhihai. 
08-00	di8tiao
08-01	renherendangxianfahuofalusuofuyutadejibenquanlizaohuohuodegongfu, youquanyouhegedeguojiafatingduijiedaohaorhuohuozuochenxiaoguodebujiu. 
09-00	di9tiao
09-01	renherenbude2shanghourqilaihuohongchuqu. 
10-00	di10tiao
10-01	rengedinggewanquanpingdengdechenyou1gedulierwupianyidefatingjinxinggongzhengdeheguandedeshenxun, yiquedingtadequanliheyiwubingpandingduitatichuderenhexingshizhikongdequanli. 
11-00	di11tiao
11-01	fanshouxingshikonggaozhe, zaiweijinghuodebianhushangsuoxude1qiebaozhengdeguandedeshenpaneryifazhengshiyouzuiyiqian, youquanbeishiweiwuzui. 
11-02	renherenderenhexingweihuobuxingwei, zaitafashengdegongfuyiguojiafahuoguojifajunbugouchengxingshizuizhe, budebeipanweifanyouxingshizui. xingfabudezhongyufanzuidegongfushiyongdefaluguiding. 
12-00	di12tiao
12-01	renherenzigerdeshenghuo, jiating, fangchandeyehetongxinbuzhun2shangganshe, taderongyuhemingyubuzhunhuohuo. rengedinggeyouquanxiangshoufalubaohu, yimianshoujiedaohaorganshehuobaihuai. 
13-00	di13tiao
13-01	rengedinggezaigeguojingneidouchenziyouqianxihejuzhudequanli. 
13-02	rengedinggedouchenlikairenheguojiadequanli, baokuoqibenguozainei, bingchenfanhuitadeguojiadequanli. 
14-00	di14tiao
14-01	rengedinggedouchenzaiqitaguojiabacihexiangshoubihuyibimianpohaidequanli. 
14-02	zaizhenzhengyouyufeizhengzhixingdezuixinghuoweibeilianheguodezongzhiheyuanzedexingweierbeiqisudeqingkuangxia, budeyuanyongjiefenrquanli. 
15-00	di15tiao
15-01	rengedinggedouchenchenguojidequanli. 
15-02	renherendeguojibude2shangbahezhe, yibudefourenqigaibianguojidequanli. 
16-00	di16tiao
16-01	laoyemenrhelaoniangmenr, bushouzhongzu, guojihuozongjiaoderenhexianzhiyouquanxunqinhechenglijiating. tamenzaihunyinfangmian, zaijiehundegongfuhesanledegongfu, yingchenpingdengdequanli. 
16-02	zhiyoujinglaoyemenrhelaoniangmenrshuangfangdeziyouhewanquandetongyi, cainengdihun. .
16-03	jiatingshitianrandehejibendeshehuidanyuan, bingyingshoushehuiheguojiadebaohu. 
17-00	di17tiao
17-01	rengedinggedouchengegerdecaichansuoyouquanyijitongtarenheyoudesuoyouquan. 
17-02	renherendecaichanbude2shangbahezhe. 
18-00	di18tiao
18-01	rengedinggeyousixiang, liangxinhezongjiaoziyoudequanli;cixiangquanlibaokuogaibiangegerdezongjiaohuoxinyangdeziyou, yijidanduhuojiti, guandedehuoanhanzheyijiaoyi, shijian, libaihejieludoulougegerdezongjiaohuoxinyangdeziyou. 
19-00	di19tiao
19-01	rengedinggechenbaochixinqirhefabiaoyijiandeziyoudequanli;cixiangquanlibaokuochenxinqirerbushouganshedeziyou, hetongguorenhemeijiehebulunguojiebaci, jieshouhechuandixiaoxihesixiangdeziyou. 
20-00	di20tiao
20-01	rengedinggechenhepingjihuihejieshedeziyoudequanli. 
20-02	renherenbudeposhilishuyumou1tuanti. 
21-00	di21tiao
21-01	rengedinggedouchenzigerhuotongguoziyouxuanzededaibiaocanyuzhilibenguodequanli. 
21-02	rengedinggedouchenpingdengjihuicanjiabenguogongwudequanli. 
21-03	renmindeyizhishizhengfuquanlidejichu;jie1yizhiyingyidingqidehezhenzhengdexuanjuyuyibiaoxian, erxuanjuyingyijupubianhepingdengdetoupiaoquan, bingyibujimingtoupiaohuoxiangdangdeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuide1yuan, youquanxiangshoushehuibaozhang, bingyouquanxiangshoutazigerdezunyanherengedeziyoufazhansuobixudejingji, shehuihewenhuafangmiangefenrquanlideshixian, jiefenrshixianshitongguoguojianuliheguojihezuobingyizhaogeguodezuzhiheziyuanqingkuang. 
23-00	di23tiao
23-01	rengedinggedouchenganshiyour, ziyouzhaoshiyour, xiangshougongzhengheheshideganshiyourdetiaojianbingxiangshoumianyumeishiyourdebaozhangdequanli. 
23-02	rengedinggedouchentonggongtongchoudequanli, bushourenheqishi. 
23-03	gedinggeganshiyourderen, douchenxiangshougongzhengheheshidebaochoudequanli, baozhengshigegerhejiadaziyou1gefuherendezunyandeshenghuotiaojian, biyaodegongfubingfuyiqitafangshideshehuibaozhang. 
23-04	rengedinggedouchenweiweihuqiliyierzuzhihecanjiagonghuidequanli. 
24-00	di24tiao
24-01	rengedinggedouchenxiaotinghetaihaidequanli, baokuoganshiyourdegongfuchenhelixianzhihedingqidanmazixiaotingdequanli. 
25-00	di25tiao
25-01	rengedinggeyouquanxiangshouweiweichitabenrenhejiadazidejiankanghefulisuoxudeshenghuoshuizhun, baokuoshiwu, yizhe, zhufang, yiliaohebiyaodeshehuifuwu;zaizaodaoshiye, buhule, shenzigulaidaile, dangjiadeguoqule, shuailaohuozaiqitabunengkongzhidedaokoursangshimoushengnenglidegongfu, chenxiangshoubaozhangdequanli. 
25-02	muqinhexiaoxiaozichenxiangshoutebieguluhexiezhudequanli. 1qiexiaoxiaozi, wulunshibushisihaizi, douyingxiangshoutongyangdeshehuibaohu. 
26-00	di26tiao
26-01	rengedinggedouyoushoujiaoyudequanli, jiaoyuyingdangbaigei, zhishaozaichujihejibenjieduanyingruci. chujijiaoyuyingshuyiwuxingzhi. jishuhezhiyejiaoyuyingpubiansheli. gaodengjiaoyuyinggenjuchengjierdui1qierenpingdengkaifang. 
26-02	jiaoyudemudezaiyuchongfenfazhanrendegexingbingjiaqiangduirenquanhejibenziyoudezunzhong. jiaoyuyingcujingeguo, gezhongzuhuogezongjiaojituanjiandelejie, rongrenheyouyi, bingyingcujinlianheguoweihuhepingdegexianghuodong. 
26-03	fumuduiqizinusuoyingshoudejiaoyudezhonglei, chenjizhexuanzedequanli. 
27-00	di27tiao
27-01	rengedinggechenziyoucanjiashehuidewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbujiqichanshengdefulirenquanli. 
27-02	renduiyouyutasuochuangzuoderenhekexue, wenxuehuomeishuzuopinerchanshengdejingshendehewuzhideliyi, gedinggechenxiangshoubaohudequanli. 
28-00	di28tiao
28-01	rengedinggedouchenwanci1fenrshehuideheguojidezhixudequanli, zaijiefenrzhixuzhong, jiegexuanyansuozaidequanliheziyouyoumenrhuodechongfenshixian. 
29-00	di29tiao
29-01	rengedinggeduishehuichenyiwu, yinweizhiyouzaishehuizhongtadegexingcaiyoumenrdedaoziyouhechongfendefazhan. 
29-02	rengedinggezaixingshitadequanliheziyoudegongfu, zhishoufalusuoquedingdexianzhi, quedingjiefenrxianzhidewei1mudezaiyubaozhengduipangrendequanliheziyougeiyuyingyoudechengrenhezunzhong, bingzai1geminzhudeshehuizhongshiyingdaode, gonggongzhixuhepubianfulidezhengdangxuyao. 
29-03	jiexiequanliheziyoudexingshi, wulunzairenheqingxingxiajunbudeweibeilianheguodezongzhiheyuanze. 
30-00	di30tiao
30-01	jiegexuanyanderenhetiaowen, budejieshiweimoxurenheguojia, jituanhuogerenchenjinxingrenhezhizaihuohuojiegexuanyansuozaiderenhequanliheziyoudehuodonghuoxingweidequanli. 
