00-00	shijierenquanxuanyan
02-02	bingqiemoyin1rensuoshudeguojiahuodepanzidezhengzhide, xingzhengdehuozheguojidedeweizhibutongeryousuoqubie, wulungaidepanzishidulidepanzi, tuoguandepanzi, feizizhidepanzihuozhechuyuqitasuimezizhuquanshouxianzhideqingkuangzhixia. 
03-00	di3tiao
03-01	renren1shiyouquanxiangyoushengming, ziyouherenshenanquan. 
04-00	di4tiao
04-01	suimezirenmoshiweinulihuonuyi;1qiexingshidenulizhiduhenulimaimai, 1shizaideyuyijinzhi. 
05-00	di5tiao
05-01	suimezirenmojiayikuxing, huoshiyicanrende, burendaodehuowuruxingdedaiyuhuoxingfa. 
06-00	di6tiao
06-01	renrenzaimezidefang1shiyouquanbeichengrenzaifaluqianderenge. 
07-00	di7tiao
07-01	faluzhiqianrenrenpingdeng, bingyouquanxiangshoufaludepingdengbaohu, bushousuimeziqishi. renrenyouquanxiangshoupingdengbaohu, yimianshouweifanbenxuanyandesuimeziqishixingweiyijishandonggezhongqishidesuimezixingweizhihai. 
08-00	di8tiao
08-01	suimezirendangxianfahuofalusuofuyutadejibenquanlizaoshouqinhaishi, youquanyouhegedeguojiafatingduigezhongqinhaixingweizuoyouxiaodebujiu. 
09-00	di9tiao
09-01	suimezirenmorenyizhuaqilai, jujinhuofangzhu. 
10-00	di10tiao
10-01	renren1shipingdengliyouquanyou1geduliermaopianyidefatingjinxinggongzhengdehegongkaideguotang, yiquedingtadequanliheyiwubingpandingduitatichudesuimezixingshizhikong. 
11-00	di11tiao
11-00	fanshouxingshikonggaozhe, zaiweijinghuodebianhushangsuoxude1qiebaozhengdegongkaiguotangeryifazhengshiyouzuiyiqian, youquanbeishiweimaozui. 
11-01	suimezirendesuimezixingweihuobuxingwei, zaiqifashengshiyiguojiafahuoguojifajunbugouchengxingshizuizhe, mobeipanweifanyouxingshizui. xingfamozhongyufanzuishijiushidefaluguiding. 
12-00	di12tiao
12-01	suimezirendesijialu, jiating, zhufanghetongxinmorenyiganshe, taderongyuhemingyumojiayigongji. renrenyouquanxiangshoufalubaohu, yimianshougezhongganshehuogongji. 
13-00	di13tiao
13-00	renrenzaigeguolitouyouquanziyouqianxihejuzhu. 
13-01	renrenyouquanlikaisuimeziguojia, gelitoubaokuoqibenguo, bingyouquandahuizhuan. 
14-00	di14tiao
14-00	renrenyouquanzaiwaiguobuhexiangshoubihuyiduokaipohai. 
14-01	zaizhenzhengyouyufeizhengzhixingdezuixinghuoweibeilianheguodezongzhiheyuanzedexingweierdaguansideqingkuangxia, moyuanyonggezhongquanli. 
15-00	di15tiao
15-00	renrenyouquanxiangyouguoji. 
15-01	suimezirendeguojimorenyiboduo, mofourentabieguojidequanli. 
16-00	di16tiao
16-00	chengniandenandehenude, bushouzhongzu, guojihuozongjiaodesuimezixianzhiyouquanduitangke, duirenjiahechenglijiating. tamenzaihunyinfangmian, zaixiqihezaijiechuhunyueshi, zaideyoupingdengdequanli. 
16-01	zhiyoujingnandehenudeshuangfangdeziyouhedoudidetongyi, caikeyidejiehun. .
16-02	jiatingshitianrandehejibendeshehuidanyuan, zaideshoushehuiheguojiadebaohu. 
17-00	di17tiao
17-00	renrenkeyideyoudandudecaichansuoyouquanyijitongtarenheyoudesuoyouquan. 
17-01	suimezirendecaichanmorenyiboduo. 
18-00	di18tiao
18-01	renrenyousixiang, liangxinhezongjiaoziyoudequanli;gexiangquanlibaokuobietadezongjiaohuoxinyangdeziyou, yijidanduhuojiti, gongkaihuomiqiyijiaoyi, shijian, libaihejielubiaoshitadezongjiaohuoxinyangdeziyou. 
19-00	di19tiao
19-01	renrenyouquanxiangyouzhuzhanghefabiaoyijiandeziyou;gexiangquanlibaokuochiyouzhuzhangerbushouganshedeziyou, hetongguosuimezimeijiehebulunguojiebu, jieshouhechuandixiaoxihesixiangdeziyou. 
20-00	di20tiao
20-00	renrenyouquanxiangyouhepingjihuihejieshedeziyou. 
20-01	suimezirenmoposhilishuyumou1tuanti. 
21-00	di21tiao
21-00	renrenyouduizhihuotongguoziyouxuanzededaibiaocanyuzhilibenguodequanli. 
21-01	renrenyoupingdengjihuicanjiabenguogongwudequanli. 
21-02	renmindexiashushizhengfuquanlidejijiao;ge1xiashuzaideyidingqidehezhenzhengdexuanjuyuyibiaoxian, erxuanjuzaideyijupubianhepingdengdetoupiaoquan, bingyibujimingtoupiaohuoxiangdangdeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuide1yuan, youquanxiangshoushehuibaozhang, bingyouquanxiangshoutadegerenzunyanherengedeziyoufazhansuobixudejingji, shehuihewenhuafangmiangezhongquanlideshixian, gezhongshixianshitongguoguojianuliheguojihezuobingyizhaogeguodezuzhiheziyuanqingkuang. 
23-00	di23tiao
23-00	renrenyouquangongzuo, ziyouxuanzezhiye, xiangshougongzhenghejiushidegongzuotiaojianbingxiangshoumianyushiyedebaozhang. 
23-01	renrenyoutonggongtongchoudequanli, bushousuimeziqishi. 
23-02	mei1gegongzuoderen, youquanxiangshougongzhenghejiushidebaochou, baozhengshitazijiahezijiarenyou1gefuherendezunyandeshenghuotiaojian, biyaoshibingfuyiqitafangshideshehuibaozhang. 
23-03	renrenyouweiweihuqiliyierzuzhihecanjiagonghuidequanli. 
24-00	di24tiao
24-01	renrenyouxiangyouxiuxihedekongdequanli, baokuogongzuoshijianyouhelixianzhihedingqigeixinxiujiadequanli. 
25-00	di25tiao
25-00	renrenyouquanxiangshouweiweichitazijiahezijiarendejiankanghefulisuoxudeshenghuoshuizhun, baokuoshiwu, yifu, zhufang, yiliaohebiyaodeshehuifuwu;zaizaodaoshiye, jibing, canfei, nandeguakada, xiajiahuozaiqitabunengkongzhideqingkuangxiasangshimoushengnenglishi, youquanxiangshoubaozhang. 
25-01	mamahexiyaziyouquanxiangshoutebiedezhaohuhexiezhu. 1qiexiyazi, wulunhunshenghuofeihunsheng, 1shizaidexiangshoutongyangdeshehuibaohu. 
26-00	di26tiao
26-00	renren1shiyoushoujiaoyudequanli, jiaoyuzaidemianfei, zhishaozaichujihejibenjieduanzaideshigeyang. chujijiaoyuzaideshuyiwuxingzhi. jishuhezhiyejiaoyuzaidepubiansheli. gaodengjiaoyuzaidegenjuchengjierdui1qierenpingdengkaifang. 
26-01	jiaoyudemudezaiyuchongfenfazhanrendegexingbingjiaqiangduirenquanhejibenziyoudezunzhong. jiaoyuzaidecujingeguo, gezhongzuhuogezongjiaojituanjiandexiaode, rongrenheyouyi, zaidecujinlianheguoweihuhepingdegexianghuodong. 
26-02	fumuduiqizinuzaidejieshoudejiaoyudezhonglei, youxianbuxianxuanzedequanli. 
27-00	di27tiao
27-00	renrenyouquanziyoucanjiashehuidewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbujiqichanshengdefuli. 
27-01	renrenduiyouyutasuochuangzuodesuimezikexue, wenxuehuomeishuzuopinerchanshengdejingshendehewuzhideliyi, youxiangshoubaohudequanli. 
28-00	di28tiao
28-01	renrenyouquanyaoqiu1zhongshehuideheguojidexiashu, zaigezhongxiashulitou, gexuanyanxiejidequanliheziyounenghuodechongfenshixian. 
29-00	di29tiao
29-00	renrenduishehuifuyouyiwu, yinweizhiyouzaishehuilitoutadegexingcaikenengdedaoziyouhechongfendefazhan. 
29-01	renrenzaixingshitadequanliheziyoushi, zhishoufalusuoquedingdexianzhi, quedinggezhongxianzhidewei1mudezaiyubaozhengduipangrendequanliheziyougeiyuzaideyoudechengrenhezunzhong, bingzai1geminzhudeshehuilitoushiyingdaode, gonggongzhixuhepubianfulidezhengdangxuyao. 
29-02	gexiequanliheziyoudexingshi, zaisuimeziqingxingxia1shimoweibeilianheguodezongzhiheyuanze. 
30-00	di30tiao
30-01	gexuanyandesuimezitiaowen, budejieshiweimoxusuimeziguojia, jituanhuogerenyouquanjinxingsuimezizhizaipohuaigexuanyanxiejidesuimeziquanliheziyoudehuodonghuoxingwei. 
